"date","close","volume","open","high","low"
"16:00","70.19","10,201,708","70.13","70.6528","69.98"
"2015/09/22","70.1900","10195070.0000","70.0600","70.6528","69.9800"
"2015/09/21","70.6500","7736711.0000","70.1500","70.8800","70.0100"
"2015/09/18","69.9400","18193100.0000","69.4400","70.7800","69.3700"
"2015/09/17","70.2400","10895940.0000","70.0000","71.2700","69.8600"
"2015/09/16","70.1000","8696807.0000","70.1200","70.3600","69.7000"
"2015/09/15","69.4500","11015900.0000","68.0200","69.7400","67.9000"
"2015/09/14","68.0600","9677088.0000","68.2300","68.3000","67.3300"
"2015/09/11","68.4200","10676860.0000","68.0600","68.5100","67.7300"
"2015/09/10","68.3200","12527070.0000","68.1200","68.9465","67.7500"
"2015/09/09","68.4800","11018430.0000","70.4400","70.5400","68.3700"
"2015/09/08","69.9800","9182153.0000","70.3100","70.4400","69.5600"
"2015/09/04","68.7600","11480800.0000","69.2800","69.2800","68.5000"
"2015/09/03","69.9300","8199320.0000","70.1800","70.4600","69.7000"
"2015/09/02","69.8100","8897312.0000","69.6500","69.8500","69.2238"
"2015/09/01","68.9000","15358610.0000","69.3700","69.8800","68.5200"
"2015/08/31","70.6700","9482767.0000","71.0000","71.0000","70.3000"
"2015/08/28","71.2100","10013180.0000","71.1700","71.2700","70.5900"
"2015/08/27","71.4800","13016330.0000","71.4000","71.7500","70.0200"
"2015/08/26","70.9000","17430110.0000","69.9000","71.0000","68.9500"
"2015/08/25","68.4200","21062930.0000","72.1800","72.2300","68.3000"
"2015/08/24","69.1400","23690540.0000","68.5700","71.0700","65.0200"
"2015/08/21","71.8400","15394120.0000","73.5500","73.9000","71.8300"
"2015/08/20","73.9100","10694660.0000","73.7500","74.7250","73.4600"
"2015/08/19","74.1200","9861143.0000","74.9300","74.9300","74.0200"
"2015/08/18","75.1300","7425663.0000","75.5800","75.8000","75.0000"
"2015/08/17","75.5300","8663445.0000","75.8100","75.8100","74.7500"
"2015/08/14","75.6200","5586111.0000","75.7400","75.8100","75.3800"
"2015/08/13","75.7800","5940531.0000","76.4900","76.5100","75.6300"
"2015/08/12","76.3900","10478920.0000","75.8900","76.4300","75.3400"
"2015/08/11","76.2200","7480270.0000","76.0400","76.4500","75.8100"
"2015/08/10","76.3800","9152101.0000","75.9500","76.5000","75.8000"
"2015/08/07","75.4800","10045310.0000","75.5900","75.7200","75.3400"
"2015/08/06","75.7400","9352802.0000","76.0100","76.0100","75.2500"
"2015/08/05","75.7700","10887670.0000","76.0500","76.5400","75.7500"
"2015/08/04","75.9100","13333100.0000","76.0300","76.3400","75.7500"
"2015/08/03","76.4000","9487840.0000","76.5100","77.0900","76.0100"
